Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,ES 300h F SPORT HANDLING,Obsidian,FWD,49635,0.0,49635.0,Port to dealer,False,Available,58ABA1C10PU035886,Lexus Escondido
2023,ES 300h F SPORT HANDLING,Iridium,FWD,49635,0.0,49635.0,At dealer,False,,58ABA1C10PU036052,Lexus of Westminster
2023,ES 300h F SPORT HANDLING,Ultra White,FWD,49635,0.0,49635.0,At dealer,False,DealerHold,58ABA1C10PU036312,South Bay Lexus
2023,ES 300h F SPORT HANDLING,Iridium,FWD,49635,0.0,49635.0,At dealer,False,Available,58ABA1C10PU036553,Lexus of Albuquerque
2023,ES 300h F SPORT HANDLING,Ultrasonic Blue Mica 2.0,FWD,49635,2995.0,52630.0,At dealer,False,,58ABA1C10PU036679,Sheehy Lexus of Annapolis
2023,ES 300h F SPORT HANDLING,Iridium,FWD,49635,0.0,49635.0,At dealer,False,DealerHold,58ABA1C10PU036696,South Bay Lexus
2023,ES 300h F SPORT HANDLING,Ultra White,FWD,49635,0.0,49635.0,At dealer,False,,58ABA1C10PU036780,Hennessy Lexus of Atlanta
2023,ES 300h F SPORT HANDLING,Obsidian,FWD,49635,0.0,49635.0,At dealer,False,DealerHold,58ABA1C10PU036911,Lexus of Naperville
2024,ES 300h F SPORT HANDLING,Matador Red Mica,FWD,49735,0.0,49735.0,At dealer,False,,58ABA1C10RU037124,Lexus of Pembroke Pines
2024,ES 300h F SPORT HANDLING,Cloudburst Gray,FWD,49735,887.0,50622.0,At dealer,False,,58ABA1C10RU037186,Lexus of Birmingham
2024,ES 300h F SPORT HANDLING,Caviar,FWD,49735,0.0,49735.0,At dealer,False,DealerHold,58ABA1C10RU037365,Lexus of Glendale
2024,ES 300h F SPORT HANDLING,Caviar,FWD,49735,0.0,49735.0,At dealer,False,DealerHold,58ABA1C10RU037382,Tustin Lexus
2024,ES 300h F SPORT HANDLING,Caviar,FWD,49735,0.0,49735.0,At dealer,False,,58ABA1C10RU037432,Lexus of Fremont
2024,ES 300h F SPORT HANDLING,Caviar,FWD,49735,0.0,49735.0,At dealer,False,,58ABA1C10RU037494,Lexus of Riverside
