Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,GX 460,Atomic Silver,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5356129,Serra Lexus Lansing
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5357863,Lexus of Pembroke Pines
2023,GX 460,Atomic Silver,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5358348,JM Lexus
2023,GX 460,Nebula Gray Pearl,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5358835,Price LeBlanc Lexus
2023,GX 460,Atomic Silver,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5359158,Longo Lexus
2023,GX 460,Atomic Silver,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5359421,Lexus of Woodland Hills
2023,GX 460,Nebula Gray Pearl,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5359550,Superstition Springs Lexus
2023,GX 460,Nebula Gray Pearl,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5359564,Lexus of Knoxville
2023,GX 460,Nightfall Mica,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5359631,Lexus of Freeport
2023,GX 460,Atomic Silver,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5359757,Germain Lexus of Dublin
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5359810,DARCARS Lexus of Englewood
2023,GX 460,Atomic Silver,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5359838,Lexus of Pembroke Pines
2023,GX 460,Caviar,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5359869,Ourisman Lexus of Rockville
2023,GX 460,Nightfall Mica,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5359919,Lexus of Tucson
2023,GX 460,Atomic Silver,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5359936,Lexus Monterey Peninsula
2023,GX 460,Nebula Gray Pearl,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5360083,Lexus of Pembroke Pines
2023,GX 460,Nebula Gray Pearl,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5360116,Lexus of Woodland Hills
2023,GX 460,Black Onyx,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5360309,Stoler Lexus
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5360360,Bobby Rahal Lexus of Lancaster County
2023,GX 460,Nightfall Mica,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5360455,Lexus of Lehigh Valley
2023,GX 460,Nebula Gray Pearl,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5360598,Lexus of Sarasota
2023,GX 460,Black Onyx,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5360617,Germain Lexus of Easton
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5360679,Lexus of Brooklyn
2023,GX 460,Black Onyx,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5360813,DARCARS Lexus of Mt. Kisco
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5360861,Ray Catena Lexus of White Plains
2023,GX 460,Caviar,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5360925,Stoler Lexus
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,Available,JTJAM7BX0P5361024,Hennessy Lexus of Atlanta
2023,GX 460,Black Onyx,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5361122,Priority Lexus Virginia Beach
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5361167,Lexus of Milwaukee
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361170,Lexus of Towson
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,DealerHold,JTJAM7BX0P5361282,Lexus of Maplewood
2023,GX 460,Caviar,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361380,DARCARS Lexus of Silver Spring
2023,GX 460,Black Onyx,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361461,Lindsay Lexus of Alexandria
2023,GX 460,Black Onyx,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361508,Ray Catena Lexus of Freehold
2023,GX 460,Atomic Silver,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361511,JM Lexus
2023,GX 460,Nebula Gray Pearl,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361539,Haldeman Lexus of Princeton
2023,GX 460,Black Onyx,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361556,Serra Lexus Lansing
2023,GX 460,Eminent White Pearl,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361623,Lexus of Pembroke Pines
2023,GX 460,Nebula Gray Pearl,4WD,57375,0.0,57375.0,Port to dealer,False,,JTJAM7BX0P5361704,Lexus of Omaha
2023,GX 460,Black Onyx,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361752,Stoler Lexus
2023,GX 460,Caviar,4WD,57375,1894.0,59269.0,At dealer,False,,JTJAM7BX0P5361783,Northtown Lexus
2023,GX 460,Black Onyx,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361878,Lexus of Watertown
2023,GX 460,Nightfall Mica,4WD,57375,0.0,57375.0,At dealer,False,,JTJAM7BX0P5361881,New Country Lexus of Great Neck
2023,GX 460,Eminent White Pearl,4WD,58125,0.0,58125.0,At dealer,False,Available,JTJAM7BX0P5361914,Lexus of Palm Beach
2023,GX 460,Nebula Gray Pearl,4WD,58125,0.0,58125.0,At dealer,False,,JTJAM7BX0P5361959,Lexus of Watertown
2023,GX 460,Nebula Gray Pearl,4WD,58125,0.0,58125.0,At dealer,False,Available,JTJAM7BX0P5361976,Longo Lexus
2023,GX 460,Nightfall Mica,4WD,58125,0.0,58125.0,At dealer,False,Available,JTJAM7BX0P5362092,Lexus of Naperville
2023,GX 460,Black Onyx,4WD,58125,0.0,58125.0,At dealer,False,DealerHold,JTJAM7BX0P5362108,Stoler Lexus
2023,GX 460,Eminent White Pearl,4WD,58125,0.0,58125.0,At dealer,False,,JTJAM7BX0P5362173,Lexus El Cajon
2023,GX 460,Nightfall Mica,4WD,58125,0.0,58125.0,At dealer,False,Available,JTJAM7BX0P5362190,Crown Lexus
2023,GX 460,Atomic Silver,4WD,58125,0.0,58125.0,Port to dealer,False,DealerHold,JTJAM7BX0P5362254,Lexus of Omaha
2023,GX 460,Black Onyx,4WD,58125,0.0,58125.0,At dealer,False,,JTJAM7BX0P5362268,Lexus of Towson
2023,GX 460,Eminent White Pearl,4WD,58125,0.0,58125.0,At dealer,False,Available,JTJAM7BX0P5362299,Lexus of Palm Beach
2023,GX 460,Nebula Gray Pearl,4WD,58125,0.0,58125.0,At dealer,False,DealerHold,JTJAM7BX0P5362304,Hennessy Lexus of Gwinnett
2023,GX 460,Eminent White Pearl,4WD,58125,0.0,58125.0,At dealer,False,,JTJAM7BX0P5362321,Lexus of Colorado Springs
2023,GX 460,Black Onyx,4WD,58125,0.0,58125.0,At dealer,False,,JTJAM7BX0P5362366,Lexus of Manhattan
2023,GX 460,Black Onyx,4WD,58125,2995.0,61120.0,At dealer,False,,JTJAM7BX0P5362397,Sheehy Lexus of Annapolis
