Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer
2023,RX 350 LUXURY,Caviar,FWD,55400,0.0,55400.0,At dealer,False,Available,2T2BAMBA0PC008940,Shottenkirk Desert Lexus
2023,RX 350 PREMIUM+,Eminent White Pearl,FWD,52000,1513.0,53513.0,At dealer,False,Available,2T2BAMBA0PC009067,Lexus of Marin
2023,RX 350 LUXURY,Iridium,FWD,55400,0.0,55400.0,At dealer,False,Available,2T2BAMBA0PC010929,Lexus of Glendale
2023,RX 350 PREMIUM+,Nebula Gray Pearl,FWD,52000,0.0,52000.0,At dealer,False,,2T2BAMBA0PC011028,Lexus of Sarasota
2023,RX 350 PREMIUM,Iridium,FWD,49400,0.0,49400.0,At dealer,False,Available,2T2BAMBA0PC011062,McGrath Lexus of Chicago
2023,RX 350 PREMIUM,Eminent White Pearl,FWD,49400,0.0,49400.0,At dealer,False,DealerHold,2T2BAMBA0PC011174,Lexus of Chester Springs
2023,RX 350 PREMIUM+,Iridium,FWD,52400,0.0,52400.0,At dealer,False,,2T2BAMBA0PC011935,Lexus of Fremont
2023,RX 350 PREMIUM+,Caviar,FWD,52400,0.0,52400.0,At dealer,False,DealerHold,2T2BAMBA0PC012017,Lexus of Glendale
2023,RX 350 PREMIUM+,Iridium,FWD,52400,0.0,52400.0,At dealer,True,DealerHold,2T2BAMBA0PC012096,JM Lexus
2023,RX 350 PREMIUM+,Iridium,FWD,52400,0.0,52400.0,At dealer,False,,2T2BAMBA0PC012180,Longo Lexus
2023,RX 350 PREMIUM+,Nightfall Mica,FWD,52400,0.0,52400.0,At dealer,False,DealerHold,2T2BAMBA0PC012535,Newport Lexus
2023,RX 350 PREMIUM+,Iridium,FWD,52400,0.0,52400.0,At dealer,False,DealerHold,2T2BAMBA0PC012664,Lexus of Thousand Oaks
2023,RX 350 LUXURY,Iridium,FWD,55800,0.0,55800.0,At dealer,False,DealerHold,2T2BAMBA0PC012759,Lexus of Cerritos
2023,RX 350 LUXURY,Caviar,FWD,55800,0.0,55800.0,At dealer,False,DealerHold,2T2BAMBA0PC012874,Lexus of Glendale
2023,RX 350 LUXURY,Nebula Gray Pearl,FWD,55800,0.0,55800.0,At dealer,False,DealerHold,2T2BAMBA0PC012938,Lexus of Greenville
2023,RX 350 LUXURY,Eminent White Pearl,FWD,55800,0.0,55800.0,At dealer,False,DealerHold,2T2BAMBA0PC013006,South Bay Lexus
2023,RX 350 PREMIUM,Nebula Gray Pearl,FWD,49800,0.0,49800.0,At dealer,False,,2T2BAMBA0PC013040,Keyes Lexus of Valencia
2023,RX 350 LUXURY,Caviar,FWD,55800,0.0,55800.0,At dealer,False,,2T2BAMBA0PC013197,Lexus of Westminster
